a [词尾]形容词，第…
aboni （事先付款）预订
aĉ 表示无价值，无用，不好，劣
aĉeti 买
ad 继续，反复
adreso 地址
aero 空气，气体；空中，天空
afabla 和气的，和蔼的
afero 事（情），事业
agi 行动；对待
agrabla 令人愉快的
aĝo 年龄；时代，时期
ajn 无论，不管；任何
aĵ 事物
akcepti 接受，接待
akra 锋利，尖锐
aktiva 有能力的，有作用的；积极的，活动的；有效，特效
akvo 水
al 向
alia 另外的
almenaŭ 至少；起码
alta 高
amaso 一大堆，一群；人群
ambaŭ 两者
ami 爱
amiko 朋友
amuzi 逗笑，使…高兴
an 成员
angulo 角；角落
animo 灵魂，精神
ankaŭ 也
ankoraŭ 还，仍
anonci 宣布，通告，公告
anstataŭ 代替
ant 主动现在分词（进行体）
antaŭ 在…前面，在…以前
aparato 一套装置，仪器
aparta 单独的，个别的，分开的；特别的
aparteni 属，属于
apenaŭ 至多；几乎不；刚…就…
aperi 出现
aprilo 四月
apud 在…近旁
ar 集合
aranĝi 整理，布置；安排
arbo 树
artikolo 冠词；文章；条款
arto 技艺；艺术
as [词尾]直陈式现在时
asocio 协会，联合会，社团
aspekti 像是，貌似，显得
at 被动现在分词（进行体）
ataki 进攻，袭击
atendi 等待；预料；期待
atenta 注意的，留心的
atingi 到达，达到；做到
aŭ 或者，还是
aŭdi 听见
aŭgusto 八月
aŭskulti 听
aŭtobuso 公共汽车
aŭtomobilo 汽车
aŭtuno 秋天
avo （外）祖父
azeno 驴
baldaŭ 不久，没多时
bani 洗澡，洗
bari 阻拦，阻挡
batali 战斗，斗争
bati 打，击，敲；（心脏）跳动，拍打
bazo （地）基，基础，基地
bedaŭri 痛惜，惋惜
bela 美丽，漂亮；美好
besto 兽
bezoni 需要
biblioteko 图书馆
biciklo （两轮）自行车
biero 啤酒
bildo 图，像
bileto 票，券，帖
birdo 鸟
blanka 白色，空白
blovi 风吹，吹
blua 蓝色
bo 姻亲
boli 沸腾
bona 好
bordo 岸；边缘
botelo 细颈瓶
bovo 牛
brako 胳膊
brili 发光；闪耀
broso 硬毛刷；电刷
brui 发噪声，喧哗
bruli 燃烧
bruna 褐色，棕色
brusto 胸
buŝo 口
butero 黄油，奶油
butono 纽扣，扣子
celo 目的，目标，宗旨
cent 百
centro 中心点，圆心，中点；中心
cerbo （大）脑，头脑
certa 有把握的；确实的
cetera 其余，其他
cigaredo 纸烟，香烟
cirklo 圆，圆面，圆形；极圈
ĉambro 房间
ĉapelo 有檐帽
ĉar 因为
ĉe 在…身边，紧挨着…
ĉefa 主要的
ĉemizo 男衬衣；运动服；制服衫
ĉesi 停止，中止
ĉevalo 马
ĉi 这里；这
ĉia 每种的，各样的
ĉiam 每次；总是；永远
ĉie 到处，各处
ĉielo 天，天空
ĉio 一切，全部
ĉirkaŭ 环绕，在…周围，在…附近，大约
ĉiu 每个人，每个
ĉu 表示疑问；[ĉu…ĉu…]不管…，还是…
da 用在数量与可量名词之间，表示其后名词的量
danci 跳舞
danĝero 危险
danki 感谢
daŭri 继续
de 的；从；被
decembro 十二月
decidi 决心，决定
defendi 防御，保卫
dek 十
dekstra 右，右边
demandi 问
densa 密集，茂密，稠
dento 牙，齿
desegni 画出轮廓，勾画
detalo 细节，细目
devi 必须
deziri 希求，想，祝愿
diferenci 差异，不同
difini 下定义
dika 厚，粗，胖
dimanĉo 星期日
dio 神
direkto 方向，方位
diri 说
dis 分散
disko 铁饼，唱片，盘状物
diskuti 讨论
diversa 各种各样的
dividi 分；分配；[数学]除
do 那么；究竟
doktoro 博士
dolĉa 甜，甜美；温柔
dolori 使…痛苦，使…疼痛
domaĝo 遗憾，可惜
domo 房屋
donaci 送，赠送
doni 给
dormi 睡
dorso 背，背面
drato 金属线，其他材料的线
du 二
dubi 怀疑
dum 在整个某段时间内；当…时；而
dungi 雇佣
e [词尾]副词
ebena 表面平整
ebl 表示可能
ec 性质
eĉ 甚至，就连…还
eduki 教育
edzo 丈夫
efektiva 实际，确实；正式
efiki 生效，起作用
eg 表示巨大、很
egala 平等，相等
ej 地点
ek 开始或突然发生
ekonomio 经济
ekskurso 远足，郊游，旅行
ekspozicio 展览；展品；展览会场
ekster 在…之外
ekzameni 考核，检查，审查，考试
ekzemplo 模范，榜样；例子
ekzerci 练习，训练，锻炼
ekzisti 存在
el 从…中；出于
elekti 选择，选举
elektro 电
em 倾向于…的，习惯…的
emocio 感动，激动；感情
en 在…里
energio 精力，干劲；能
er 表示某物的构成分子
erari 迷路；犯错误，犯过失
esperi 希望，期望
esplori 考察，探索
esprimi 表示，表现，表达
esti 存在；是
estimi 尊重，敬重，敬仰
estr 首长
et 表示小的意思
eventuala 可能发生的，万一的
evolui 进化，演化；发展
facila 容易，轻微，轻快，轻松
fadeno 线；线索
fajro 火
fako 格子；学科；部门
fakto 事实
fakturo 账单，发票
fali 落下，跌倒
fama 有名，著名
familio 家庭
fari 做；造；使……成为
farti 起居，健康状况
februaro 二月
feliĉa 幸福，幸运
fenestro 窗户
ferio 假日
fermi 关
fero 铁
festi 庆祝，过（节）
fiksi 将…固定在…
filmo 胶片，感光片；影片
filo 儿子
fingro 手指，脚趾
fini 结束；完成
fiŝo 鱼
flago 旗帜
flanko 面，侧
flava 黄颜色
floro 花
flugi 飞
flui 流，流动
fojo 次，回
folio 叶，张（两面）
fondi 建立；创建，创办
fonto 泉，源
for 往远处；在远处；不在，不见
forgesi 忘记，忽略
forko 叉子，叉形物
formo 形状，样子
forta 强有力；坚强
fosi 掘土，翻地；挖掘
foti 摄影，照相
